Sample_ID,District,Agro_Zone,Season,Soil_pH,Total_N_percent,Available_P_mgkg,Available_K_mgkg,Organic_Carbon_percent,Rainfall_30d_mm,Temperature_mean_C,Recommended_N_kg_ha,Recommended_P2O5_kg_ha,Recommended_K2O_kg_ha,Urea_kg_ha,TSP_kg_ha,MOP_kg_ha
1564,Monaragala,Intermediate,Yala,6.76,0.13,,67.1,1.64,203,26.4,120,40,40,252.1,86.1,62.8
1565,Kurunegala,Intermediate,Maha,6.33,0.06,5,107.5,1.65,211.6,28.9,130,60,20,296.3,136.4,31.5
1566,Mannar,Dry,Maha,6.73,0.104,12.3,47.7,1.13,195.5,29.1,120,40,60,257.9,83.9,101.8
1567,Mullaitivu,Dry,Yala,6.55,0.102,7.5,117.5,0.6,37.2,27.1,120,60,20,267.5,120.7,33.8
1568,Nuwara Eliya,Wet,Yala,4.94,0.064,9,100.7,2.9,,25.5,130,60,20,265.5,130.3,31.9
1569,Anuradhapura,Dry,Yala,6.44,0.16,9.8,52.6,1.32,21.7,,100,60,60,221.4,122.6,99.6
1570,Colombo,Wet,Maha,5.1,0.109,11.5,133.3,1.75,274.4,24.6,120,40,20,259,90.3,35.1
1571,Puttalam,Dry,Maha,7.34,0.057,9.8,63.5,1.33,195.3,30.2,130,60,40,286.3,126,63.4
1572,Kandy,Wet,Yala,4.69,0.077,11.7,130.3,2.75,362.6,24.6,130,40,20,268.5,86.3,30.9
1573,Colombo,Wet,Maha,4.75,0.105,5.8,146.6,2.17,218,25.8,120,60,20,270.2,122.3,34.1
1574,Kalutara,Wet,Yala,4.79,0.103,11.1,62.5,,263.2,26.6,120,40,40,275.1,84.2,62.2
1575,Galle,Wet,Yala,5.74,0.195,10.2,124.2,,254.1,26.7,100,40,20,208.2,90.7,35.7
1576,Nuwara Eliya,Wet,Maha,5.36,0.154,,127.5,2.18,251.1,24.4,100,60,20,204.2,123.6,33.8
1577,Jaffna,Dry,Maha,5.59,0.123,11.1,114.6,1.36,254.4,,120,40,20,242.3,88.9,33.2
1578,Mullaitivu,Dry,Maha,7.39,0.06,6.7,61.7,1.38,196.1,28,130,60,40,288.6,138.6,66
1579,Matale,Intermediate,Maha,5.31,,10.5,120.2,1.65,225.4,28.2,130,40,20,287.1,89.3,33.7
1580,Monaragala,Intermediate,Yala,6.26,0.16,18.2,78.3,1.04,225.1,28.3,100,20,40,218.9,45.5,62.6
1581,Kilinochchi,Dry,Maha,6.99,0.057,10.9,112.1,0.51,219.3,29.5,130,40,20,271.2,81.9,35.4
1582,Mullaitivu,Dry,Yala,5.64,0.141,8.1,46.2,1,27.3,27.7,120,60,60,256.6,125.5,101.9
1583,Matara,Wet,Yala,5.19,0.122,8.9,71.3,2.62,329.2,27.8,120,60,40,264.6,138.1,63.5
1584,Kandy,Wet,Maha,5.14,0.147,5.5,134.3,2.68,221.9,26.4,120,60,20,260.8,134.6,33.6
1585,Galle,Wet,Yala,5.84,0.1,10.3,129.5,2.16,323.2,26.5,120,40,20,280,88.8,31.5
1586,Jaffna,Dry,Maha,,0.144,11.2,95.4,0.86,176.4,27.1,120,40,40,246.7,89.1,61.9
1587,Gampaha,Wet,Maha,5.31,0.058,11.6,122.2,2.79,270.4,26.8,130,40,20,290.9,85.9,34
1588,Mannar,Dry,Maha,7.2,0.135,6,116.2,0.61,189.7,31.2,120,60,20,257.2,121.5,34
1589,Kurunegala,Intermediate,Yala,5.88,0.077,10.4,77.4,1.65,175.9,27.9,130,40,40,279.6,90.7,67.5
1590,Hambantota,Dry,Maha,5.93,0.104,9.2,,0.73,267.5,28.3,120,60,20,269.4,133.9,31.7
1591,Kandy,Wet,Maha,5.12,,6.8,110.3,1.69,268.8,,120,60,20,268.4,129.9,33.8
1592,Vavuniya,Dry,Maha,7.5,0.057,5.4,93.4,1.35,247,29.9,130,60,40,303.4,138.2,62.3
1593,Kalutara,Wet,Yala,4.87,0.144,9.8,70.4,1.59,357,27.9,120,60,40,246.4,127.2,67.8
1594,Puttalam,Dry,Yala,5.94,0.146,9.4,107.9,0.58,60.8,30.7,120,60,20,245.4,126.4,33.6
1595,Kilinochchi,Dry,Yala,7.24,0.152,6.9,116.5,0.69,98.7,29.8,100,60,20,224.7,137.7,34.1
1596,Nuwara Eliya,Wet,Yala,5.96,0.199,6.2,107.8,1.65,320.7,26.2,100,60,20,220,136.2,35.3
1597,Colombo,Wet,Yala,5.35,0.059,11.9,145.6,2.83,235.7,24.3,130,40,20,273,87.2,35.1
1598,Kegalle,Intermediate,Maha,6.24,0.175,8.4,51.7,1.49,192.9,28,100,60,60,203.7,123.2,107.2
1599,Monaragala,Intermediate,Yala,6.7,0.085,11.3,63.4,1.67,142.9,28.9,130,40,40,265,83.3,71.5
1600,Colombo,Wet,Yala,5.06,0.108,9,118.6,2.73,214.3,25.2,120,60,20,276.3,133.5,34.7
1601,Batticaloa,Dry,Yala,6.76,0.099,11.7,66.4,1.16,85,31.3,130,40,40,269.5,85.5,71.3
1602,Kilinochchi,Dry,Maha,5.76,0.077,12.2,83.1,0.91,256.1,29.6,130,40,40,275.1,91.4,70.4
1603,Anuradhapura,Dry,Maha,6.62,,10.2,59.2,1.37,249.7,30.9,120,40,60,250.2,92.9,103.4
1604,Anuradhapura,Dry,Maha,5.8,0.175,5.7,99.3,1.31,231.4,29.8,100,60,40,212.7,136.4,62.5
1605,Polonnaruwa,Dry,Maha,6.7,0.12,13.4,56.5,1.22,215.8,31.8,120,40,60,244,85.4,93.2
1606,Anuradhapura,Dry,Yala,6.78,0.139,6.2,96.3,1.47,63.5,30,120,60,40,261.6,136,70.1
1607,Hambantota,Dry,Maha,5.75,0.09,5.5,62.1,0.87,204.2,29,130,60,40,264.3,127.5,66.6
1608,Matara,Wet,Yala,5.86,0.185,7.9,62.6,1.54,213.8,26.3,100,60,40,227.2,123.9,69.8
1609,Kurunegala,Intermediate,Yala,6.79,0.147,5.8,72.8,1.97,182.8,29,120,60,40,250.5,121.3,64.8
1610,Batticaloa,Dry,Yala,7.36,0.19,6.5,77.7,0.95,21.9,31,100,60,40,218.7,128.2,65.7
1611,Vavuniya,Dry,Yala,6.64,0.06,9.2,51.7,,74.1,31.1,130,60,60,298.7,138.3,103
1612,Vavuniya,Dry,Yala,6.13,0.158,13.5,93.4,,54.7,30.7,100,40,40,222.3,83.6,70.9
1613,Kegalle,Intermediate,Maha,,0.066,14.8,75.9,1.98,234.4,26.4,130,40,40,284,83.2,62.6
1614,Kilinochchi,Dry,Maha,5.77,0.067,14.2,63,0.84,144.4,28.3,130,40,40,275.2,93.1,70.3
1615,Monaragala,Intermediate,Yala,5.52,0.152,9.7,85.5,1.02,243.3,26.3,100,60,40,212,121.1,69.6
1616,Colombo,Wet,Yala,,0.185,7,112.3,1.75,352.5,26,100,60,20,222.9,136,32.4
1617,Polonnaruwa,Dry,Maha,6.04,0.065,9.3,98.9,0.75,291.5,28.7,130,60,40,303.5,126.9,65.3
1618,Kalutara,Wet,Yala,4.89,0.095,9.6,105.1,1.86,275.1,27.6,130,60,20,289.5,121.4,31
1619,Anuradhapura,Dry,Yala,5.81,0.092,11,54.5,0.84,79.3,29.6,130,40,60,285,92.5,92.7
1620,Kandy,Wet,Yala,4.69,0.171,11.9,142.4,2.8,397.9,25,100,40,20,224.9,82.3,33.2
1621,Hambantota,Dry,Yala,6.57,0.06,12.7,40,1.18,86.6,30,130,40,60,281.1,87.7,93.9
1622,Batticaloa,Dry,Maha,6.89,,9,98.5,1.33,134.2,30.4,100,60,40,203.1,126,63.6
1623,Polonnaruwa,Dry,Yala,6.2,0.064,11.3,46.7,1.21,66.7,27.7,130,40,60,285.2,81.3,105.2
1624,Vavuniya,Dry,Yala,6.28,0.135,14,45.4,1.35,60,31.9,120,40,60,278.8,81.1,101.1
1625,Vavuniya,Dry,Maha,6.57,0.149,7.4,108.9,1.28,137.1,31.5,120,60,20,248.2,122.9,34
1626,Badulla,Intermediate,Yala,6.12,0.1,18,125.5,1.31,214.6,29.4,120,20,20,268.3,40.7,31.7
1627,Kandy,Wet,Yala,4.97,0.157,11.5,130.1,1.78,203.6,27.8,100,40,20,207.6,90.4,34.9
1628,Nuwara Eliya,Wet,Yala,5.75,0.123,6.2,139.2,2.18,227.5,26.2,120,60,20,262.3,130.1,35.1
1629,Matale,Intermediate,Yala,5.22,0.147,13.5,98.7,1.69,231.1,26.4,120,40,40,245.1,84.9,66.9
1630,Ampara,Dry,Maha,5.68,0.17,11.4,119.7,0.84,154.6,28.3,100,40,20,215.8,85.9,35.4
1631,Nuwara Eliya,Wet,Maha,,0.192,11.9,132.3,1.64,266.9,24.2,100,40,20,225.8,92.6,35
1632,Kegalle,Intermediate,Yala,5.6,0.103,9.1,61.9,1.41,114.3,26,120,60,40,254.9,138.4,69
1633,Trincomalee,Dry,Maha,7.29,0.051,8.4,102.6,0.77,148.7,31.6,130,60,20,289.6,134.6,34.5
1634,Mannar,Dry,Maha,6.64,0.176,14.9,114.8,0.71,192.6,27.1,100,40,20,227,92,31.3
1635,Kilinochchi,Dry,Maha,5.78,0.064,10.5,58.1,1.26,175.1,,130,40,60,300.7,84.6,96.6
1636,Hambantota,Dry,Yala,6.44,0.059,9.3,77.9,0.71,87.9,27.7,130,60,40,271.4,128.1,62.4
1637,Badulla,Intermediate,Maha,5.52,0.098,5.2,62.6,1.9,194,27.9,130,60,40,278.3,132.6,61.8
1638,Gampaha,Wet,Maha,5.39,0.164,9.5,90.6,1.74,322.1,26.5,100,60,40,206.1,132.8,63.3
1639,Galle,Wet,Maha,5.21,0.055,5.4,66.2,2.12,273.4,24.8,130,60,40,303.5,130,70.5
1640,Galle,Wet,Yala,5.97,0.129,,121.9,2.81,309.1,26.3,120,40,20,277.6,85.7,32
1641,Ampara,Dry,Maha,6.38,0.181,13.7,75.5,0.93,285.8,,100,40,40,218.7,93.3,71.4
1642,Monaragala,Intermediate,Yala,6.48,0.105,13.1,57.3,,182,28.3,120,40,60,274.3,91.2,101.5
1643,Matale,Intermediate,Yala,6.53,0.129,10,117.7,1.48,178.3,28.2,120,40,20,261.7,86.2,32
1644,Badulla,Intermediate,Maha,5.49,0.128,13.6,85.4,1.92,,28.7,120,40,40,265.7,90,66.7
1645,Jaffna,Dry,Maha,,0.109,7.3,107.3,1.39,260.3,29.6,120,60,20,244.8,125.9,31.9
1646,Trincomalee,Dry,Yala,6,0.119,12.4,74.6,1.29,45.7,27.2,120,40,40,270.9,81.8,71.5
1647,Kegalle,Intermediate,Maha,5.38,,10.1,61,1.49,145.2,27.1,130,40,40,266.8,85.1,70.2
1648,Kilinochchi,Dry,Yala,6.73,0.082,7.3,100.1,0.75,23.6,30.8,130,60,20,296.4,128.5,30.9
1649,Anuradhapura,Dry,Maha,6.43,0.194,5.8,75.9,1.2,196.6,30.4,100,60,40,226.6,120.9,71.2
1650,Kilinochchi,Dry,Maha,6.11,0.194,5.5,86.2,1.32,243.2,27.6,100,60,40,224.2,136.6,68.9
1651,Kilinochchi,Dry,Yala,7.01,0.059,8.7,107.2,0.9,71,29.8,130,60,20,262.9,127.6,31.2
1652,Mullaitivu,Dry,Maha,5.67,0.163,6.6,57.8,0.56,268.5,29.6,100,60,60,211,132,102.6
1653,Gampaha,Wet,Yala,4.97,0.131,11.9,110.7,2.93,333.4,27.6,120,40,20,251.6,81.4,34
1654,Ampara,Dry,Yala,5.8,0.092,5.2,108.7,1.25,63,28.1,130,60,20,276.7,124,31.9
1655,Gampaha,Wet,Maha,5.89,0.194,8.2,109.6,2.5,398.1,26.8,100,60,20,204,138,34.6
1656,Trincomalee,Dry,Yala,5.85,0.056,11.7,81.6,0.61,99.9,30.9,130,40,40,301.1,88.4,62.6
1657,Ratnapura,Wet,Yala,,0.145,5.3,143.4,2.67,396.3,27.8,120,60,20,263,139.2,33.2
1658,Galle,Wet,Yala,4.72,0.053,9.3,149.7,1.85,388.7,27.9,130,60,20,274.4,140.2,30.9
1659,Puttalam,Dry,Maha,6.42,0.077,5.8,100.7,1.49,137.6,32,130,60,20,278.2,127.9,35.6
1660,Gampaha,Wet,Yala,5.07,0.077,5.2,140.5,1.68,362,24.1,130,60,20,280.4,126.5,34.6
1661,Kalutara,Wet,Maha,4.7,0.056,8.8,121.1,2.96,272.7,26.3,130,60,20,286.9,137.4,31.6
1662,Anuradhapura,Dry,Maha,6.99,0.198,10.9,85.8,1.31,211.2,30.1,100,40,40,217.9,93.5,65.1
1663,Ampara,Dry,Maha,7.49,0.182,12.4,116.1,1.5,,28.9,100,40,20,231.1,88.7,31.6
1664,Trincomalee,Dry,Yala,6.42,0.16,5.2,65.9,1.23,39.6,,100,60,40,217.3,136.2,69.4
1665,Mannar,Dry,Yala,7.15,0.088,10.5,87.8,0.73,26.7,31.5,130,40,40,303.5,90.7,62.3
1666,Anuradhapura,Dry,Yala,6.57,0.074,5.6,51.9,1.17,29.6,31.4,130,60,60,297.5,127.6,105.1
1667,Kilinochchi,Dry,Maha,6,0.062,9.3,63.2,1.4,248.8,27,130,60,40,270.2,131.9,71.1
1668,Matale,Intermediate,Maha,5.89,0.096,5.9,64.3,1.75,110.5,28.7,130,60,40,300.9,136.9,68.5
1669,Hambantota,Dry,Maha,6.43,0.183,13.8,77,0.82,289.6,30,100,40,40,204.9,89.5,63.8
1670,Badulla,Intermediate,Maha,5.59,0.128,12.9,83.8,1.3,167,27.8,120,40,40,273.3,80.8,65.3
1671,Mannar,Dry,Yala,7.47,0.19,5.9,105.3,0.79,70.8,29.7,100,60,20,213.5,127.2,33.2
1672,Puttalam,Dry,Maha,6.36,0.112,7.4,51.6,0.78,132.1,30.9,120,60,60,275.7,123.4,101.6
1673,Gampaha,Wet,Maha,5.86,0.169,8.8,63,1.6,360.9,26.1,100,60,40,229.4,125.2,68.4
1674,Batticaloa,Dry,Yala,,0.14,6.1,115.7,0.84,56.9,27.9,120,60,20,272.9,138.3,33.6
1675,Trincomalee,Dry,Yala,5.89,0.115,7.8,48.5,1.36,28.4,27.8,120,60,60,272.3,121.3,97.8
1676,Jaffna,Dry,Maha,6.26,0.066,14.1,70.9,0.85,167.9,29.1,130,40,40,274.3,83.3,70.6
1677,Mannar,Dry,Maha,7.45,0.094,13.3,77.9,1.24,130.6,29.2,130,40,40,264.8,84.5,62.5
1678,Batticaloa,Dry,Yala,6.53,0.184,13.3,51,0.77,63.8,31.1,100,40,60,214.2,88.5,99.5
1679,Galle,Wet,Maha,5.59,0.072,6,94,2.78,295.4,25.8,130,60,40,268.8,131.1,69.5
1680,Badulla,Intermediate,Maha,6.24,0.161,6.9,92.6,1.99,198.9,29.3,100,60,40,223.8,124.9,62.3
1681,Gampaha,Wet,Maha,4.55,0.195,7,141.8,2.33,252.2,25.5,100,60,20,212.4,123.8,34.3
1682,Trincomalee,Dry,Yala,6.24,0.159,7.4,113.6,0.85,43.1,27.3,100,60,20,232.9,125.3,34.9
1683,Mullaitivu,Dry,Yala,6.9,0.056,6.5,87.6,0.85,92.2,28.5,130,60,40,288.6,130.4,68.3
1684,Matale,Intermediate,Maha,5.92,0.096,10.8,95,1.84,,28.1,130,40,40,296.3,84,61.8
1685,Jaffna,Dry,Yala,,0.058,13.3,60.5,1.14,48.3,30.7,130,40,40,267,92.8,63.5
1686,Badulla,Intermediate,Yala,6.52,0.142,7.6,62.9,1.38,206.7,27.9,120,60,40,275.1,129.7,65.1
1687,Batticaloa,Dry,Yala,5.8,0.155,10.6,77.1,1.19,63.2,29.6,100,40,40,231.2,81.2,64
1688,Galle,Wet,Maha,5.64,0.057,11.6,120.2,1.75,335.4,24.4,130,40,20,282.1,90,35.6
1689,Monaragala,Intermediate,Maha,5.95,0.116,8.5,79.1,1.64,193.7,26.3,120,60,40,265.1,127.1,68.2
1690,Trincomalee,Dry,Maha,6.05,0.182,6.6,46.4,1.36,268.3,29,100,60,60,226,133.4,97
1691,Kilinochchi,Dry,Maha,5.51,0.082,10.4,48.6,0.62,262.5,28.2,130,40,60,268.8,84.1,106.4
1692,Badulla,Intermediate,Maha,5.52,0.051,13.8,67.1,1.3,131.9,27.9,130,40,40,282.7,87.9,69.1
1693,Matara,Wet,Maha,5.07,0.079,,129.1,2.93,359.8,25.1,130,60,20,278.3,135.7,32.2
1694,Batticaloa,Dry,Yala,6.02,0.186,5.3,67.1,0.89,61.8,27.9,100,60,40,205.9,138.8,65.5
1695,Galle,Wet,Yala,5.42,0.179,9,148.4,2.65,388.5,26.1,100,60,20,213.1,125.7,31.8
1696,Trincomalee,Dry,Maha,6.97,0.151,9.4,59.9,1.16,184.4,30.1,100,60,60,203.3,127.2,107.1
1697,Nuwara Eliya,Wet,Maha,4.92,0.078,8.7,75.3,2.5,362.4,,130,60,40,262.5,129.7,66.9
1698,Mullaitivu,Dry,Maha,6.24,0.145,13.1,69.8,1.14,238.8,27.3,120,40,40,246.6,92.6,70.7
1699,Matara,Wet,Maha,5.68,0.129,8.1,146.5,1.56,243.3,24.8,120,60,20,279,138.3,32.5
1700,Hambantota,Dry,Maha,6.99,0.117,10.4,119.8,1.22,219.4,30.9,120,40,20,262.8,81.6,35.1
1701,Puttalam,Dry,Maha,6.09,0.19,8.5,69.9,0.87,266.1,30.6,100,60,40,232.6,123.2,62.2
1702,Trincomalee,Dry,Maha,5.55,0.054,12,98.8,0.79,156.4,,130,40,40,279.7,86.9,71.5
1703,Badulla,Intermediate,Maha,6.57,0.183,6.5,118.4,1.43,169.5,27.5,100,60,20,211.3,122.7,35.4
1704,Trincomalee,Dry,Maha,7.4,0.054,12.7,57.7,1.19,211.7,27.4,130,40,60,282.9,85,97.9
1705,Kalutara,Wet,Yala,4.54,0.108,9.4,146.8,2.12,207.2,25.4,120,60,20,258.5,123.5,34.7
1706,Batticaloa,Dry,Maha,6.02,0.107,5.6,114.6,0.92,132.8,29.8,120,60,20,245.5,133.1,34.6
1707,Gampaha,Wet,Maha,,0.107,11.3,137.4,2.69,291.1,24.4,120,40,20,266.4,92.9,35.3
1708,Colombo,Wet,Yala,5.65,0.183,11.9,73.6,2.86,256.8,26.7,100,40,40,208.1,93.5,64.8
1709,Colombo,Wet,Maha,4.89,0.19,8.5,127.1,2.8,262.4,24.1,100,60,20,221.3,128,33.1
1710,Nuwara Eliya,Wet,Yala,5.47,0.191,,103.7,2.2,233.3,24.3,100,40,20,222.3,88.3,35.1
1711,Puttalam,Dry,Yala,6.3,0.14,10.1,,0.88,61.6,27.3,120,40,40,247.3,91.6,69.5
1712,Mannar,Dry,Maha,6.22,0.137,10.7,53.9,0.63,261,28.2,120,40,60,243.7,82,98.4
1713,Kalutara,Wet,Yala,,0.151,5.5,128.6,1.79,274.2,24.7,100,60,20,226.6,134.1,35
1714,Batticaloa,Dry,Yala,6.32,0.171,7.4,43.7,0.97,78.8,29,100,60,60,216.1,128.6,93.2
1715,Anuradhapura,Dry,Yala,6.81,0.168,11.3,105.4,1.1,43.2,29.2,100,40,20,203,83.2,34.7
1716,Anuradhapura,Dry,Yala,7.13,0.077,7,67,0.88,98.7,31.5,130,60,40,303.6,128.5,63.8
1717,Kandy,Wet,Yala,5.75,0.114,10.7,,2.76,283.6,,120,40,40,243.6,81.5,64.6
1718,Puttalam,Dry,Maha,5.57,0.188,9.7,75.6,0.67,137.3,28.5,100,60,40,223.8,134.2,66.6
1719,Kurunegala,Intermediate,Maha,6.09,0.13,14.2,122.7,1.42,183.5,,120,40,20,279.8,83.8,33
1720,Colombo,Wet,Yala,5.36,0.188,,95.6,2.94,227.2,24.8,100,60,40,208.9,126.7,66.9
1721,Monaragala,Intermediate,Maha,5.47,0.099,19.3,62.7,1.55,117.8,26,130,20,40,267.4,41,67.1
1722,Monaragala,Intermediate,Yala,5.62,0.089,11.2,115.8,1.8,164,29.3,130,40,20,266.6,91.8,32.5
1723,Kandy,Wet,Maha,5.34,0.062,11.2,66,1.8,277.2,27.2,130,40,40,274.3,86.9,63.5
1724,Gampaha,Wet,Yala,5.13,0.106,11,91.5,2.24,,25.6,120,40,40,245.3,87.9,69.4
1725,Kurunegala,Intermediate,Maha,5.3,0.102,6.6,89.6,1.58,249.8,26.4,120,60,40,268.4,131.8,65.7
1726,Matale,Intermediate,Yala,5.89,0.137,9.6,69.2,1.9,187.5,26.3,120,60,40,243.8,128.6,66.8
1727,Matara,Wet,Maha,5.42,0.165,8.2,112.9,1.59,258.9,25.6,100,60,20,217.7,124.4,34
1728,Monaragala,Intermediate,Yala,5.87,0.096,6,51.4,1.8,141,26.7,130,60,60,303.7,135.2,106.1
1729,Colombo,Wet,Maha,5.24,0.136,10.8,135.7,2.31,381.5,26.2,120,40,20,273.2,82.1,34.3
1730,Kurunegala,Intermediate,Yala,5.36,0.085,19.4,,1.42,203.8,27.8,130,20,20,287.5,40.9,31
1731,Anuradhapura,Dry,Yala,7.29,0.115,,64.7,1.15,80.2,27.6,120,40,40,253.3,89.7,70.1
1732,Puttalam,Dry,Maha,6.4,,9.3,52.2,0.59,132.8,28.4,130,60,60,287.9,124.7,107.3
1733,Gampaha,Wet,Maha,4.83,0.078,6.9,126.5,1.63,381.3,24.6,130,60,20,283.7,126.6,33.2
1734,Mannar,Dry,Yala,6.76,0.098,,80.9,0.58,76.3,29.1,130,60,40,279.5,129.9,71.4
1735,Nuwara Eliya,Wet,Maha,5.98,0.14,,134.8,1.54,225,25.2,120,60,20,246.4,129.4,33.5
1736,Colombo,Wet,Yala,4.9,0.138,11.2,81.1,2.56,219.3,26.5,120,40,40,276,89.7,66.3
1737,Ratnapura,Wet,Yala,5.08,0.179,10.3,133.1,2.69,,25.4,100,40,20,215.8,88.6,32.5
1738,Galle,Wet,Maha,5.25,0.085,8.6,68,2.85,222,24.5,130,60,40,269.7,133.2,68.3
1739,Kandy,Wet,Maha,5.58,,10,83.4,2.66,214.9,27.4,130,40,40,277,89.8,64
1740,Kandy,Wet,Yala,5.46,0.182,11.6,,,229.2,26.9,100,40,20,214.6,84.3,31.3
1741,Batticaloa,Dry,Maha,6.67,0.14,8.4,94.1,1.05,190.6,29.3,120,60,40,273.7,126.9,62
1742,Trincomalee,Dry,Yala,6.91,0.177,5.5,82.7,0.54,38,27.5,100,60,40,225,129.2,64.6
1743,Matara,Wet,Maha,4.7,0.074,6.7,108.2,1.67,266.8,,130,60,20,294,126.6,32.8
1744,Anuradhapura,Dry,Maha,6.86,0.178,8.2,97.5,1.3,196.7,28.3,100,60,40,201.5,139.9,67.2
1745,Kurunegala,Intermediate,Maha,5.53,0.144,8.1,112.7,1.44,160.1,27,120,60,20,257.6,136.5,32.3
1746,Kurunegala,Intermediate,Maha,6.48,0.094,5.2,124.2,1.6,,27.1,130,60,20,281.8,123.8,35.7
1747,Matara,Wet,Maha,4.64,0.067,10.3,79.2,1.86,209.2,26.8,130,40,40,262.2,80.5,64.6
1748,Polonnaruwa,Dry,Maha,5.69,0.161,5.3,118.9,1.28,165,28.4,100,60,20,209.6,121.5,33
1749,Batticaloa,Dry,Maha,6.54,,10.9,73.6,1.45,248.7,27.6,100,40,40,225.9,83.7,62.7
1750,Monaragala,Intermediate,Yala,6.32,0.192,9.5,52.8,,158.1,27.3,100,60,60,205.6,122.9,96.4
1751,Monaragala,Intermediate,Yala,5.93,,17.1,57.4,1.18,245.8,29.2,100,20,60,218.6,43.7,93.2
1752,Kegalle,Intermediate,Maha,6.59,0.124,13,54.1,1.89,124.3,28.1,120,40,60,249.8,91.7,100.9
1753,Puttalam,Dry,Yala,7.14,0.173,11.6,86.7,0.62,95.9,30.3,100,40,40,201.5,90.1,69.2
1754,Monaragala,Intermediate,Yala,6.61,0.052,7.8,53.3,1.8,202.2,27.5,130,60,60,271.6,124.8,95.4
1755,Polonnaruwa,Dry,Yala,,,7,92.8,1.25,40.7,28.5,120,60,40,279.5,128.4,65.4
1756,Mullaitivu,Dry,Yala,5.76,0.09,13.2,76.9,0.82,,29.5,130,40,40,295.4,87.1,61.9
1757,Badulla,Intermediate,Maha,5.22,0.171,15.9,88,1.18,194.5,29.4,100,20,40,232.4,45.5,70.1
1758,Anuradhapura,Dry,Yala,6.78,0.052,11.3,41.4,0.56,58,30.1,130,40,60,282.1,91.4,104.2
1759,Jaffna,Dry,Maha,6.82,0.158,10.7,83.6,1.1,259.8,31.5,100,40,40,204.7,92.3,62.3
1760,Galle,Wet,Yala,5.93,0.093,10.3,60.7,1.8,273.4,,130,40,40,284.6,87.1,65.3
1761,Colombo,Wet,Maha,5.3,0.059,10.9,82.2,1.89,206.9,24.8,130,40,40,280.7,89.5,71.3
1762,Kilinochchi,Dry,Maha,7.4,0.102,12.2,66.4,0.83,141.7,31.7,120,40,40,274.4,81.9,65.6
1763,Ratnapura,Wet,Yala,5.67,0.184,7.1,140.8,1.52,370.9,27.8,100,60,20,204.3,131.7,33.4
1764,Matale,Intermediate,Yala,6.55,0.14,19.3,109.8,1.67,146.2,27.8,120,20,20,260.4,41.9,32.6
1765,Puttalam,Dry,Yala,5.98,0.137,12.9,104.5,1.15,36.1,27.2,120,40,20,247.2,86.1,33.8
1766,Puttalam,Dry,Maha,5.55,0.136,13.3,109.9,1.02,252.3,27.3,120,40,20,254,88.7,35.7
1767,Trincomalee,Dry,Yala,6.03,0.088,6.3,107.6,0.78,96.9,31,130,60,20,292.7,125.6,35.8
1768,Mannar,Dry,Maha,,,11.3,59.5,1.44,254.6,31.7,100,40,60,216.6,81.2,104.1
1769,Trincomalee,Dry,Maha,6.58,0.111,8.3,68.7,0.74,266.3,30.6,120,60,40,256,120.8,65.7
1770,Gampaha,Wet,Yala,5.44,,5.1,141.2,2.21,288.5,27.9,120,60,20,256.8,121.1,33.3
1771,Anuradhapura,Dry,Maha,6.99,0.188,8.7,44.2,0.83,146.5,28,100,60,60,216.1,120.8,97.9
1772,Kegalle,Intermediate,Maha,5.35,0.145,7.8,80.2,1.23,178.5,27,120,60,40,272.1,122.8,71.6
1773,Kandy,Wet,Maha,4.91,0.11,,121.4,1.56,395.2,24.4,120,40,20,276.2,83.6,34.3
1774,Trincomalee,Dry,Maha,7.29,0.051,5.8,88.4,1.2,142.2,29.2,130,60,40,301.9,124.9,66.2
1775,Hambantota,Dry,Yala,7.47,0.067,12.8,,0.79,35.5,30.6,130,40,40,294.8,93.4,61.8
1776,Kurunegala,Intermediate,Yala,6.38,0.089,16.9,,1.29,111.8,27.3,130,20,40,274.8,42.2,66.9
1777,Vavuniya,Dry,Yala,5.59,0.186,7.4,54.2,1.15,59.8,28.7,100,60,60,223.5,123.1,107.3
1778,Hambantota,Dry,Yala,6.83,0.154,8,56.6,1.32,55,30.7,100,60,60,215.4,131.3,100.3
1779,Mullaitivu,Dry,Yala,5.54,0.166,,81.6,1.35,29.9,30.9,100,60,40,209.4,137.4,63.5
1780,Ratnapura,Wet,Yala,5.85,0.061,,123.8,2.26,300.2,27.5,130,60,20,297,133.9,30.9
1781,Anuradhapura,Dry,Maha,6.63,0.081,7.3,44.1,,251.6,31.2,130,60,60,263,126.4,97.8
1782,Kegalle,Intermediate,Yala,5.25,0.145,5.3,82.5,1.82,231,28.7,120,60,40,276.6,131.6,70.9
1783,Mannar,Dry,Yala,6.19,0.163,6.9,66.8,0.82,98.8,27.5,100,60,40,216.1,134.6,71.7
1784,Badulla,Intermediate,Yala,6.36,0.189,7.3,102.8,1.19,215.7,28.4,100,60,20,221.9,134.9,35.5
1785,Ampara,Dry,Yala,6.63,0.14,11.3,97,1.18,76.9,31.1,120,40,40,267.1,89.2,69
1786,Jaffna,Dry,Yala,6.71,0.096,12,105.3,1.12,57.2,27.2,130,40,20,299.3,91.8,33.6
1787,Gampaha,Wet,Yala,4.92,0.135,5.1,107.2,2.05,251.3,26.8,120,60,20,266.2,137.6,33.8
1788,Hambantota,Dry,Yala,,0.072,11.6,89.6,0.96,68.6,28.9,130,40,40,287.4,88,67.1
